comment,type
يعطيكم الصحة,normal
عشي عندهما,normal
مغتصب المنيوك,aggressive
بشير فار حبس ثالثة ابتيدائي جاي مايا عيب اعليك جاهل مالقيتهاش ومانجمتش تناقش جاهل دورتها تهريج ااجاهل عبدلي وقتلي عصراتو مايا قالها بايرة والجمهور العظيم جمهور كسكروتات قحاب وطحانة اهانة لاي مثقف اضحكهم تعرف اطايح سامي الفهري يعشق الابتذال,normal
مول القناة دزيزي تفرجت الفديو تاعك ولدي تعرفو خير سبحانو شرف الجود لازمها الاحترام لانو صحاب توانسا,normal
الحرب الإسلام والمسلمين وصلت ديار القيروان بالله اللهم دمر الكفار والمنافقين بلاد رؤوس الظالمين تونس الإسلام لاشيء,aggressive
رجال تونس اعطيوتو المراة حقها اصبحت تتطاول الجزائر,aggressive
تحيا كريم الغربي ونقول مايا برشيني اشتحميني,aggressive
تونس الكافر والمسلم مسلمين وأغلبهم كفار نغطو الشمس بالغربال المسلمين قلة تونس أسلمت الشعب يمت بصلة,normal
تحياتنا أخلاق المسلم حاجتو دائما وأبدااا مايغيرش التعاليم الإسلامية ويبقى يدافع زمان ربي يهديهم ويهدينا لالة منهرفش سمك دينا العظيم قاعدة تهاجمي كأمة واحدة,normal
شعير خفيف الكيف,normal
مريام معرسه معرسه,normal
بلاد قحب,aggressive
القصوري التونسي,normal
فض فوك,normal
سميسو قحية كبيرة,aggressive
الشاب بشر منيك سحيح وحل صحيح ميقدرش والمراةاذا فاحت راءيحته خارج منزله تعتبر فمابالك صوته,aggressive
حبيبتي,normal
خاف رب باجي رجل القبر ورجل الدنيا شعب مسلم وانتبعوا رب حكمك,normal
تربحك كلبه وسبسي حكومت سبسي,aggressive
شميس غالي لطفي نحبك اخلاقيا زينة الراجل اخلاقو فعلو,normal
كبير تنسحب قناة متعدت حدودها,normal
عللخر الفلوس خلت العباد تعصي كلام ربي ولي الباجي يحكي حاجة عمرنا مانعصو ونعارضوا أية واضحة عللخر ومفهومة حسبي ونعم الوكيل,normal
تكفيري قح العياذ بالله وجود الجهادية العلمية غيرهما هدي صلى وسلم خربتم بارك,aggressive
ههههه,normal
الشاب عبدو,normal
استغفر العظيم ربي يهزهكم هزاااااااا رجعة مسخين اتفوه الكفر,aggressive
تونس بلد الشواذ التخلف الرديلة,aggressive
كريم الغربي راجل العطايين النقوشة,normal
جيت لتونس مرات بلاد معبيا قحاب مكان رمضان وحتي صوت الأذان مانسمعش لتونس المسلمين دولة كافره تلقا نسبة أكثرية ديوث اخلاقه فاسدة ويقولك مثقف يلعن الثقافة,aggressive
ملاهط القحبة تهزوا الحبس اقحاب يمسخوا صمعة تونس عص التونسي معروف العالم,aggressive
اجركم اهلهم,normal
لليبية قوتشية أدري أنكي فتاة أشتم أعتذر بمسح كلامي ثانيا أظنكي أمامي لتحدثتي هكذا,aggressive
نصدق ولاد معرسة ضاهرلي,normal
بالله,normal
الأخوة الجزائريين ينصحون بطرد لليهود,aggressive
تونس,aggressive
الأميرة القرطاجية ربي يحشرك الجحيم حمالة الحطب حطب بالك الجنة بالمجان روحي تعهري وقولي ربي يدخلني للجنة وقولي ربي للجنة نهار الاخرة وتشوفي ربي سبحانو يعلقها الاثداء نتاعها وراتهم للناس راكي دافعي العاهرات باينة كيفكيف الصحراء,aggressive
عاشت تونس حره علمانية,normal
الليبيين نفسهم معرضين للقتل والسرقة والخطف والسطو لحظه تعيش حرب اهلية قوات الناتو دمرت العسكرية والامنية العملاء وتخلت مشروعها التدميري,normal
