comment,type
يعطيكم الصحة,normal
عشي عندهما رجال,normal
نبيك مغتصب الاطفال المنيوك,aggressive
بشير فار حبس خارج ثالثة ابتيدائي جاي اتناقش مايا عيب اعليك جاهل مالقيتهاش ومانجمتش تناقش جاهل دورتها تهريج ااجاهل عبدلي وقتلي عصراتو مايا قالها بايرة والجمهور العظيم جمهور كسكروتات قحاب وطحانة اهانة لاي مثقف اضحكهم تعرف مستواهم اطايح زميمهم سامي الفهري يعشق الابتذال,normal
مول القناة دزيزي جنيت تفرجت الفديو تاعك ولدي تعرفو خير ربي سبحانو عطاك شرف الجود تونس لازمها فتوحات اسلامية الاحترام لانو صحاب توانسا,normal
الحرب الإسلام والمسلمين وصلت ديار القيروان بالله اللهم دمر الكفار والمنافقين بلاد الإسلام العالم اينعت رؤوس الظالمين تونس الإسلام لاشيء,aggressive
رجال تونس اعطيوتو المراة حقها اصبحت تتطاول اخ الجزائر,aggressive
تحيا كريم الغربي ونقول للمعزة مايا برشيني اشتحميني ههه,aggressive
تونس الكافر والمسلم مسلمين وأغلبهم كفار معاش نغطو الشمس بالغربال المسلمين قلة تونس أسلمت الشعب منهج يمت للإسلام بصلة,normal
تحياتنا كريم الغربي زملاؤه أخلاق المسلم حاجتو لاااازم دائما وأبدااا مايغيرش التعاليم الإسلامية ويبقى يدافع دينه زمان ومكان واخلاق ربي يهديهم ويهدينا تشدد لالة منهرفش سمك دينا العظيم قاعدة تهاجمي كأمة واحدة,normal
كسكسي شعير خفيف ويعمل الكيف,normal
مريام الدباغ معرسه معرسه,normal
تونس بلاد قحب,aggressive
داخلة بالمعرفة اللقيطة القصوري الماخور التونسي,normal
فض فوك,normal
سميسو قحية كبيرة ولطفي اقحب,aggressive
الشاب بشر منيك سحيح وحل صحيح ميقدرش والمراةاذا فاحت راءيحته خارج منزله تعتبر زانية فمابالك صوته,aggressive
حبيبتي,normal
خاف رب باجي رجل القبر ورجل الدنيا شعب مسلم وانتبعوا حكم رب حكمك,normal
تربحك كلبه وسبسي مسؤل حكومت سبسي,aggressive
شميس غالي متربي لطفي نحبك طلعت كعبة اخلاقيا زينة الراجل اخلاقو فعلو,normal
شك كبير تنسحب قناة متعدت حدودها,normal
عللخر عمبو الفلوس خلت العباد تعصي كلام ربي ولي الباجي يحكي حاجة فالدين ومهما المشكلة عمرنا مانعصو ربي ونعارضوا أية واضحة عللخر ومفهومة حسبي ونعم الوكيل,normal
تكفيري قح العياذ بالله وجود للسلفية الجهادية العلمية غيرهما السلفية هدي النبي صلى وسلم خربتم ديننا بارك,aggressive
ههههه والله رجل,normal
الشاب عبدو مات,normal
استغفر لله العظيم ربي يهزهكم هزاااااااا رجعة مسخين اتفوه الكفر,aggressive
تونس بلد الشواذ التخلف الرديلة,aggressive
كريم الغربي راجل نص العطايين النقوشة,normal
جيت لتونس مرات بلاد معبيا قحاب مكان وناس تفطر رمضان وحتي صوت الأذان مانسمعش بنسبه لتونس العاصمة المسلمين دولة كافره تلقا نسبة اسلام أكثرية الشعب ديوث اخلاقه فاسدة ويقولك مثقف يلعن الثقافة,aggressive
